"APPOINT_ID","RESERVATION_TYPE","RESERVATION_METHOD","LINE_ID","TIMEZONE_PATTERN_ID","TIMEZONE_ID","APPOINT_DATE","APPOINT_DAY","LINE_NAME","TIMEZONE_NAME","RESERVATION_FRAMES","AUTO_RESERVATION_SETTING","LINE_NUM","SPARE_LINE_NUM","START_TIME","END_TIME","START_NUMBER","LINE_APPOINT_TYPE","LINE_APPOINT_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DELETE_FG","DATA_VERSION"
"1","2",\N,"4","1","1","2019-10-20","7","10月20日のみコース（乳がん）","帯1","0",\N,"10","0","0000","2300","1","9",\N,"CUSTUMER","2019-09-23 09:53:01","CUSTUMER","2019-09-23 09:53:01","0","1"
"2","2",\N,"4","1","1","2019-10-20","7","10月20日のみコース（乳がん）","帯1","0",\N,"10","0","0000","2300","1","1","1","CUSTUMER","2019-09-23 09:53:01","CUSTUMER","2019-09-23 09:53:01","0","1"
"3","2",\N,"5","1","1","2020-01-07","2","婦人科","帯1","0",\N,"2","0","0000","2300","1","9",\N,"CUSTUMER","2019-12-07 16:18:05","CUSTUMER","2019-12-07 16:18:05","0","1"
"4","2",\N,"5","1","1","2020-01-07","2","婦人科","帯1","0",\N,"2","0","0000","2300","1","1","1","CUSTUMER","2019-12-07 16:18:05","CUSTUMER","2019-12-07 16:18:05","0","1"
"5","2",\N,"2","1","1","2020-01-21","2","WEB予約受付ない","帯1","0",\N,"3","0","0000","2300","1","9",\N,"A3271","2020-01-09 09:56:38","A3271","2020-01-30 12:40:23","1","2"
"6","2",\N,"2","1","1","2020-01-21","2","WEB予約受付ない","帯1","0",\N,"3","0","0000","2300","1","1","1","A3271","2020-01-09 09:56:38","A3271","2020-01-30 12:40:23","1","2"
"7","2",\N,"2","1","1","2020-01-28","2","WEB予約受付ない","帯1","0",\N,"3","0","0000","2300","1","9",\N,"A3271","2020-01-30 12:40:23","A3271","2020-01-30 12:40:23","0","1"
"8","2",\N,"2","1","1","2020-01-28","2","WEB予約受付ない","帯1","0",\N,"3","0","0000","2300","1","1","1","A3271","2020-01-30 12:40:23","A3271","2020-01-30 12:40:23","0","1"
"9","2",\N,"5","1","1","2020-03-03","2","婦人科","帯1","0",\N,"2","0","0000","2300","1","9",\N,"CUSTUMER","2020-02-08 00:07:42","CUSTUMER","2020-02-08 00:07:42","0","1"
"10","2",\N,"5","1","1","2020-03-03","2","婦人科","帯1","0",\N,"2","0","0000","2300","1","1","1","CUSTUMER","2020-02-08 00:07:42","CUSTUMER","2020-02-08 00:07:42","0","1"
"11","2",\N,"5","1","1","2020-03-18","3","婦人科","帯1","0",\N,"2","0","0000","2300","1","9",\N,"CUSTUMER","2020-02-24 15:40:07","A3210","2020-03-02 14:50:59","1","2"
"12","2",\N,"5","1","1","2020-03-18","3","婦人科","帯1","0",\N,"2","0","0000","2300","1","1","1","CUSTUMER","2020-02-24 15:40:07","A3210","2020-03-02 14:50:59","1","2"
"13","2",\N,"5","1","1","2020-03-31","2","婦人科","帯1","0",\N,"2","0","0000","2300","1","9",\N,"CUSTUMER","2020-02-26 19:53:19","CUSTUMER","2020-02-26 19:53:19","0","1"
"14","2",\N,"5","1","1","2020-03-31","2","婦人科","帯1","0",\N,"2","0","0000","2300","1","1","1","CUSTUMER","2020-02-26 19:53:19","CUSTUMER","2020-02-26 19:53:19","0","1"
"15","2",\N,"5","1","1","2020-03-17","2","婦人科","帯1","0",\N,"2","0","0000","2300","1","9",\N,"A3210","2020-03-02 14:50:59","A3210","2020-03-02 14:50:59","0","1"
"16","2",\N,"5","1","1","2020-03-17","2","婦人科","帯1","0",\N,"2","0","0000","2300","1","1","1","A3210","2020-03-02 14:50:59","A3210","2020-03-02 14:50:59","0","1"
