"LINEGROUP_ID","SEQ_NO","LINEGROUP_NAME","LINEGROUP_NAME_SHORT","OUTSIDE_RESERVATION","DO_NOT_SPECIFY_LINE_FG","LINEGROUP_TYPE","VACCINE_FG","RABIES_FG","SAME_TIME_LIMIT","LINEGROUP_CANCELLATION_DAYS","LINEGROUP_START_DAYS","LINEGROUP_END_DAYS","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DELETE_FG","DATA_VERSION"
"1","1","女性向け1日人間ドック（胃部X線検査＋マンモグラフィ）","女性向け1日人間ドック（胃部X線検査＋マンモグラフィ）","1","0","0","0","0",\N,"20","6000","6","A2867","2019-01-17 17:52:42","A3212","2019-10-24 09:55:02","0","10"
"2","3","女性向け1日人間ドック（胃カメラ＋マンモグラフィ）","女性向け1日人間ドック（胃カメラ＋マンモグラフィ）","1","0","0","0","0",\N,"20","6000","6","A2867","2019-01-18 10:42:42","A3212","2019-10-24 10:05:41","0","11"
"3","5","男性向け1日人間ドック（胃部X線検査）","男性向け1日人間ドック（胃部X線検査）","1","0","0","0","0",\N,"20","6000","6","A2867","2019-01-18 16:07:30","A3212","2019-10-24 10:06:52","0","8"
"4","11","男性向け1日人間ドック（胃カメラ）","男性向け1日人間ドック（胃カメラ）","0","0","0","0","0",\N,"20","6000","6","A2867","2019-01-18 16:20:19","A3212","2019-10-24 10:11:51","0","10"
"5","7","健保コース","健保コース","0","0","0","0","0",\N,"20","6000","6","A2636","2019-01-22 15:37:38","A3212","2019-10-24 10:06:52","0","3"
"6","8","【2019年10月1日から】女性向け1日人間ドック（胃部X線検査）","【2019年10月1日から】女性向け1日人間ドック（胃部X線検査","0","0","0","0","0",\N,"20","6000","6","A3218","2019-08-15 15:07:05","A3212","2019-10-24 10:06:52","0","4"
"7","9","【2019年10月1日から】女性向け1日人間ドック（胃カメラ）","【2019年10月1日から】女性向け1日人間ドック（胃カメラ）","0","0","0","0","0",\N,"20","6000","6","A3218","2019-08-15 15:12:58","A3212","2019-10-24 10:06:52","0","4"
"8","10","【2019年10月1日から】男性向け1日人間ドック（胃部X線検査）","【2019年10月1日から】男性向け1日人間ドック（胃部X線検査","0","0","0","0","0",\N,"20","6000","6","A3218","2019-08-15 15:15:09","A3212","2019-10-24 10:06:52","0","3"
"9","6","【2019年10月1日から】男性向け1日人間ドック（胃カメラ）","【2019年10月1日から】男性向け1日人間ドック（胃カメラ）","1","0","0","0","0",\N,"20","6000","6","A3218","2019-08-15 15:18:57","A3212","2019-10-24 10:11:51","0","4"
"10","2","女性向け1日人間ドック（胃部X線検査＋乳腺エコー）","女性向け1日人間ドック（胃部X線検査＋乳腺エコー）","1","0","0","0","0",\N,"20","6000","6","A3212","2019-10-24 09:56:13","A3212","2019-10-24 09:56:30","0","2"
"11","4","女性向け1日人間ドック（胃カメラ＋乳腺エコー）","女性向け1日人間ドック（胃カメラ＋乳腺エコー）","1","0","0","0","0",\N,"20","6000","6","A3212","2019-10-24 10:06:40","A3212","2019-10-24 10:06:52","0","2"
