"LINEGROUP_ID","SEQ_NO","LINEGROUP_NAME","LINEGROUP_NAME_SHORT","OUTSIDE_RESERVATION","DO_NOT_SPECIFY_LINE_FG","LINEGROUP_TYPE","VACCINE_FG","RABIES_FG","SAME_TIME_LIMIT","LINEGROUP_CANCELLATION_DAYS","LINEGROUP_START_DAYS","LINEGROUP_END_DAYS","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DELETE_FG","DATA_VERSION"
"1","1","基本健診コース","基本健診コース","0","0","0","0","0",\N,"30","6000","6","A2867","2019-04-19 17:09:25","A1589","2019-07-01 18:33:01","1","7"
"2","2","レントゲンを含む基本コース","レントゲンを含む基本コース","0","0","0","0","0",\N,"30","6000","6","A2867","2019-04-19 17:13:38","A1589","2019-07-01 18:33:07","1","7"
"3","3","入社時健康診断に適したコース","入社時健康診断に適したコース","0","0","0","0","0",\N,"30","6000","6","A2867","2019-04-19 17:21:53","A1589","2019-07-01 18:33:25","1","8"
"4","4","入社時健康診断＋色覚","入社時健康診断＋色覚","0","0","0","0","0",\N,"30","6000","6","A2867","2019-04-19 17:25:29","A1589","2019-07-01 18:33:31","1","7"
"5","4","健保コース","健保コース","0","0","0","0","0",\N,"7","6000","6","A2636","2019-04-26 11:12:58","A1589","2019-07-01 18:49:25","0","2"
"6","3","定期健診B","定期健診B","1","0","0","0","0",\N,"30","6000","6","A2636","2019-06-21 10:47:08","A3210","2020-01-17 17:37:57","0","12"
"7","2","定期健診A","定期健診A","1","0","0","0","0",\N,"30","6000","6","A2636","2019-06-21 10:47:18","A3210","2020-01-17 17:37:38","0","9"
"8","1","雇用時健診","雇用時健診","1","0","0","0","0",\N,"30","6000","6","A2636","2019-06-21 10:47:32","A3210","2020-01-17 17:37:18","0","10"
"9","9","定期健診B","定期健診B","0","0","0","0","0",\N,"30","6000","6","A2636","2019-06-21 11:38:58","A2636","2019-06-21 12:02:20","1","1"
"10","10","定期健診A","定期健診A","0","0","0","0","0",\N,"30","6000","6","A2636","2019-06-21 11:41:36","A2636","2019-06-21 12:05:01","1","1"
"11","11","雇用時健診","雇用時健診","0","0","0","0","0",\N,"30","6000","6","A2636","2019-06-21 11:46:15","A2636","2019-06-21 12:03:23","1","2"
