"hospital_no","course_no","item_category_dai_no","item_category_chu_no","item_category_sho_no","select_status","inputstring","rgst","updt","created_id","updated_id"
"20000","20000","1","1","1","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","1","1","2","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","2","2","3","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","2","2","4","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","2","2","5","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","2","2","6","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","2","2","7","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","2","3","8","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","2","3","9","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","2","3","10","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","2","3","11","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","4","12","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","4","13","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","4","14","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","4","15","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","4","16","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","4","17","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","4","18","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","4","19","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","4","20","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","4","21","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","4","22","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","4","23","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","4","24","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","4","25","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","4","26","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","4","316","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","5","27","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","5","28","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","5","29","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","5","30","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","5","31","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","5","32","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","5","33","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","5","34","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","6","35","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","6","36","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","6","37","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","7","38","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","7","39","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","7","40","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","7","41","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","8","42","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","9","43","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","9","44","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","10","45","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","10","46","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","10","47","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","10","48","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","10","49","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","10","50","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","10","51","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","10","52","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","10","53","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
"20000","20000","3","10","54","0",,"2017-09-04 16:55:30","2017-09-04 16:55:30","A2062","A2062"
