"hospital_no","course_no","reservation_dt","timezone_id","line_name","line_id","order_no","appoint_status","appoint_number","reservation_frames","holiday","status","rgst","updt","created_id","updated_id"
"20012","20144","20201201","1","57","5",NULL,"1","0","0","0","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201202",NULL,NULL,"5",NULL,"3","0","0","1","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201203","1","57","5",NULL,"1","0","0","0","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201204","1","57","5",NULL,"1","0","0","0","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201205","1","57","5",NULL,"1","0","0","0","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201206","1","57","5",NULL,"1","0","0","0","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201207","1","57","5",NULL,"1","0","0","0","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201208","1","57","5",NULL,"1","0","0","0","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201209",NULL,NULL,"5",NULL,"3","0","0","1","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201210","1","57","5",NULL,"1","0","0","0","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201211","1","57","5",NULL,"1","0","0","0","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201212","1","57","5",NULL,"1","0","0","0","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201213","1","57","5",NULL,"1","0","0","0","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201214","1","57","5",NULL,"1","0","0","0","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201215","1","57","5",NULL,"1","0","0","0","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201216",NULL,NULL,"5",NULL,"3","0","0","1","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201217","1","57","5",NULL,"1","0","0","0","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201218","1","57","5",NULL,"1","0","0","0","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201219","1","57","5",NULL,"1","0","0","0","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201220","1","57","5",NULL,"1","0","0","0","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201221","1","57","5",NULL,"1","0","0","0","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201222","1","57","5",NULL,"1","0","0","0","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201223",NULL,NULL,"5",NULL,"3","0","0","1","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201224","1","57","5",NULL,"1","0","0","0","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201225","1","57","5",NULL,"1","0","0","0","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201226","1","57","5",NULL,"1","0","0","0","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201227","1","57","5",NULL,"1","0","0","0","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201228","1","57","5",NULL,"1","0","0","0","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201229","1","57","5",NULL,"1","0","0","0","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201230",NULL,NULL,"5",NULL,"3","0","0","1","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
"20012","20144","20201231","1","57","5",NULL,"1","0","0","0","1","2020-02-03 11:03:54","2020-02-03 11:03:54",NULL,NULL
