"LINEGROUP_ID","SEQ_NO","LINEGROUP_NAME","LINEGROUP_NAME_SHORT","OUTSIDE_RESERVATION","DO_NOT_SPECIFY_LINE_FG","LINEGROUP_TYPE","VACCINE_FG","RABIES_FG","SAME_TIME_LIMIT","LINEGROUP_CANCELLATION_DAYS","LINEGROUP_START_DAYS","LINEGROUP_END_DAYS","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DELETE_FG","DATA_VERSION"
"1","10","人間ドック・1泊コース","人間ドック・1泊コース","0","0","0","0","0",\N,"30","6000","8","A2867","2018-10-31 14:20:09","A3271","2019-09-30 19:47:03","0","16"
"2","12","人間ドック・日帰りコース","人間ドック・日帰りコース","0","0","0","0","0",\N,"30","6000","8","A2867","2018-10-31 14:23:43","A3271","2019-09-30 19:47:03","0","11"
"3","17","健康診断 定期健康診断1","健康診断 定期健康診断1","0","0","0","0","0",\N,"30","6000","6","A2867","2018-10-31 14:30:12","A3271","2019-09-30 19:47:03","0","8"
"4","18","健康診断 定期健康診断2","健康診断 定期健康診断2","0","0","0","0","0",\N,"30","6000","6","A2867","2018-10-31 14:32:33","A3271","2019-09-30 19:47:03","0","8"
"5","19","健保コース","健保コース","0","0","0","0","0",\N,"30","6000","6","A2636","2018-11-05 11:33:49","A3271","2019-09-30 19:47:03","0","3"
"6","11","【女性】人間ドック・1泊コース","【女性】人間ドック・1泊コース","0","0","0","0","0",\N,"30","6000","8","A2636","2019-06-19 08:43:12","A3271","2019-09-30 19:47:03","0","11"
"7","13","【女性】人間ドック・日帰りコース","【女性】人間ドック・日帰りコース","0","0","0","0","0",\N,"30","6000","8","A2636","2019-06-19 08:54:05","A3271","2019-09-30 19:47:03","0","11"
"8","14","人間ドック＋腫瘍マーカー＋がんリスクスクリーニング","人間ドック＋腫瘍マーカー＋がんリスクスクリーニング","0","0","0","0","0",\N,"30","6000","8","A2636","2019-06-19 09:05:39","A3271","2019-09-30 19:47:03","0","10"
"9","15","人間ドック＋全身CT","人間ドック＋全身CT","0","0","0","0","0",\N,"30","6000","8","A2636","2019-06-19 09:08:43","A3271","2019-09-30 19:47:03","0","10"
"10","16","人間ドック＋頭部CT","人間ドック＋頭部CT","0","0","0","0","0",\N,"30","6000","8","A2636","2019-06-19 09:12:58","A3215","2019-11-20 11:48:09","0","13"
"11","1","【2019年10月1日から】人間ドック・1泊コース","【2019年10月1日から】人間ドック・1泊コース","1","0","0","0","0",\N,"30","6000","8","A3218","2019-08-27 11:41:04","A3271","2019-09-30 19:47:03","0","5"
"12","2","【2019年10月1日から】【女性】人間ドック・1泊コース","【2019年10月1日から】【女性】人間ドック・1泊コース","1","0","0","0","0",\N,"30","6000","8","A3218","2019-08-27 11:42:04","A3271","2019-09-30 19:47:03","0","3"
"13","3","【2019年10月1日から】人間ドック・日帰りコース","【2019年10月1日から】人間ドック・日帰りコース","1","0","0","0","0",\N,"30","6000","8","A3218","2019-08-27 11:42:54","A3271","2019-09-30 19:47:03","0","3"
"14","4","【2019年10月1日から】【女性】人間ドック・日帰りコース","【2019年10月1日から】【女性】人間ドック・日帰りコース","1","0","0","0","0",\N,"30","6000","8","A3218","2019-08-27 11:43:46","A3271","2019-09-30 19:47:03","0","3"
"15","5","【2019年10月1日から】人間ドック＋腫瘍マーカー＋がんリスクスクリーニング","【2019年10月1日から】人間ドック＋腫瘍マーカー＋がんリスク","1","0","0","0","0",\N,"30","6000","8","A3218","2019-08-27 11:44:36","A3271","2019-09-30 19:47:03","0","4"
"16","6","【2019年10月1日から】人間ドック＋全身CT","【2019年10月1日から】人間ドック＋全身CT","1","0","0","0","0",\N,"30","6000","8","A3218","2019-08-27 11:45:59","A3271","2019-09-30 19:47:03","0","3"
"17","7","【2019年10月1日から】人間ドック＋頭部CT","【2019年10月1日から】人間ドック＋頭部CT","1","0","0","0","0",\N,"30","6000","8","A3218","2019-08-27 11:46:50","A3271","2019-09-30 19:47:03","0","3"
"18","8","【2019年10月1日から】健康診断 定期健康診断1","【2019年10月1日から】健康診断 定期健康診断1","1","0","0","0","0",\N,"30","6000","6","A3218","2019-08-27 11:47:29","A3271","2019-09-30 19:47:03","0","3"
"19","9","【2019年10月1日から】健康診断 定期健康診断2","【2019年10月1日から】健康診断 定期健康診断2","1","0","0","0","0",\N,"30","6000","6","A3218","2019-08-27 11:48:09","A3271","2019-09-30 19:47:03","0","3"
